	edge_type	node1	node2	weight
('HIST1H2AJ', 'HIST1H4B', 'STRING_experimental')	STRING_experimental	HIST1H2AJ	HIST1H4B	268
('HIST1H2AJ', 'HIST1H4B', 'STRING_textmining')	STRING_textmining	HIST1H2AJ	HIST1H4B	330
('HIST1H2AJ', 'HIST1H4B', 'STRING_other')	STRING_other	HIST1H2AJ	HIST1H4B	4
('CBX4', 'HIST1H4B', 'STRING_experimental')	STRING_experimental	CBX4	HIST1H4B	186
('CBX4', 'HIST1H4B', 'STRING_textmining')	STRING_textmining	CBX4	HIST1H4B	182
('HIST1H2AC', 'HIST1H4B', 'STRING_coexpression')	STRING_coexpression	HIST1H2AC	HIST1H4B	142
('HIST1H2AC', 'HIST1H4B', 'STRING_experimental')	STRING_experimental	HIST1H2AC	HIST1H4B	854
('HIST1H2AC', 'HIST1H4B', 'STRING_textmining')	STRING_textmining	HIST1H2AC	HIST1H4B	357
('HIST1H2AC', 'HIST1H4B', 'STRING_other')	STRING_other	HIST1H2AC	HIST1H4B	4
('HIST1H4B', 'IKZF2', 'PCnet_other')	PCnet_other	HIST1H4B	IKZF2	1
('HIST1H4B', 'HIST4H4', 'STRING_database')	STRING_database	HIST1H4B	HIST4H4	900
('HIST1H4B', 'HIST4H4', 'STRING_coexpression')	STRING_coexpression	HIST1H4B	HIST4H4	121
('HIST1H4B', 'HIST4H4', 'STRING_experimental')	STRING_experimental	HIST1H4B	HIST4H4	800
('HIST1H4B', 'HIST4H4', 'STRING_textmining')	STRING_textmining	HIST1H4B	HIST4H4	47
('HIST1H4B', 'SMARCB1', 'STRING_experimental')	STRING_experimental	HIST1H4B	SMARCB1	87
('HIST1H4B', 'SMARCB1', 'STRING_textmining')	STRING_textmining	HIST1H4B	SMARCB1	329
('DNMT3L', 'HIST1H4B', 'STRING_experimental')	STRING_experimental	DNMT3L	HIST1H4B	64
('DNMT3L', 'HIST1H4B', 'STRING_textmining')	STRING_textmining	DNMT3L	HIST1H4B	330
('HIST1H3A', 'HIST1H4B', 'STRING_database')	STRING_database	HIST1H3A	HIST1H4B	900
('HIST1H3A', 'HIST1H4B', 'STRING_coexpression')	STRING_coexpression	HIST1H3A	HIST1H4B	394
('HIST1H3A', 'HIST1H4B', 'STRING_experimental')	STRING_experimental	HIST1H3A	HIST1H4B	852
('HIST1H3A', 'HIST1H4B', 'STRING_textmining')	STRING_textmining	HIST1H3A	HIST1H4B	586
('HIST1H3A', 'HIST1H4B', 'STRING_other')	STRING_other	HIST1H3A	HIST1H4B	8
('HIST1H4B', 'SMARCD1', 'STRING_experimental')	STRING_experimental	HIST1H4B	SMARCD1	83
('HIST1H4B', 'SMARCD1', 'STRING_textmining')	STRING_textmining	HIST1H4B	SMARCD1	137
('HIST1H3J', 'HIST1H4B', 'STRING_database')	STRING_database	HIST1H3J	HIST1H4B	900
('HIST1H3J', 'HIST1H4B', 'STRING_coexpression')	STRING_coexpression	HIST1H3J	HIST1H4B	357
('HIST1H3J', 'HIST1H4B', 'STRING_experimental')	STRING_experimental	HIST1H3J	HIST1H4B	852
('HIST1H3J', 'HIST1H4B', 'STRING_textmining')	STRING_textmining	HIST1H3J	HIST1H4B	586
('HIST1H3J', 'HIST1H4B', 'STRING_other')	STRING_other	HIST1H3J	HIST1H4B	8
('HIST1H3H', 'HIST1H4B', 'STRING_database')	STRING_database	HIST1H3H	HIST1H4B	900
('HIST1H3H', 'HIST1H4B', 'STRING_coexpression')	STRING_coexpression	HIST1H3H	HIST1H4B	267
('HIST1H3H', 'HIST1H4B', 'STRING_experimental')	STRING_experimental	HIST1H3H	HIST1H4B	852
('HIST1H3H', 'HIST1H4B', 'STRING_textmining')	STRING_textmining	HIST1H3H	HIST1H4B	586
('HIST1H3H', 'HIST1H4B', 'STRING_other')	STRING_other	HIST1H3H	HIST1H4B	8
('HIST1H4B', 'KAT8', 'STRING_coexpression')	STRING_coexpression	HIST1H4B	KAT8	62
('HIST1H4B', 'KAT8', 'STRING_experimental')	STRING_experimental	HIST1H4B	KAT8	354
('HIST1H4B', 'KAT8', 'STRING_textmining')	STRING_textmining	HIST1H4B	KAT8	699
('HIST1H4B', 'TP53', 'STRING_textmining')	STRING_textmining	HIST1H4B	TP53	589
('HIST1H4B', 'SGK1', 'STRING_textmining')	STRING_textmining	HIST1H4B	SGK1	187
('HIST1H4B', 'RBBP5', 'STRING_experimental')	STRING_experimental	HIST1H4B	RBBP5	124
('HIST1H4B', 'RBBP5', 'STRING_textmining')	STRING_textmining	HIST1H4B	RBBP5	321
('HIST1H4B', 'RARB', 'PCnet_other')	PCnet_other	HIST1H4B	RARB	1
('ACTB', 'HIST1H4B', 'STRING_coexpression')	STRING_coexpression	ACTB	HIST1H4B	56
('ACTB', 'HIST1H4B', 'STRING_experimental')	STRING_experimental	ACTB	HIST1H4B	79
('ACTB', 'HIST1H4B', 'STRING_textmining')	STRING_textmining	ACTB	HIST1H4B	396
('HIST1H3D', 'HIST1H4A', 'STRING_database')	STRING_database	HIST1H3D	HIST1H4A	900
('HIST1H3D', 'HIST1H4A', 'STRING_coexpression')	STRING_coexpression	HIST1H3D	HIST1H4A	172
('HIST1H3D', 'HIST1H4A', 'STRING_experimental')	STRING_experimental	HIST1H3D	HIST1H4A	852
('HIST1H3D', 'HIST1H4A', 'STRING_textmining')	STRING_textmining	HIST1H3D	HIST1H4A	690
('HIST1H3D', 'HIST1H4A', 'STRING_other')	STRING_other	HIST1H3D	HIST1H4A	8
('HDAC7', 'HIST1H4A', 'STRING_coexpression')	STRING_coexpression	HDAC7	HIST1H4A	62
('HDAC7', 'HIST1H4A', 'STRING_experimental')	STRING_experimental	HDAC7	HIST1H4A	184
('HDAC7', 'HIST1H4A', 'STRING_textmining')	STRING_textmining	HDAC7	HIST1H4A	488
('HDAC7', 'HIST1H4A', 'STRING_other')	STRING_other	HDAC7	HIST1H4A	43
('ASH2L', 'HIST1H4A', 'STRING_coexpression')	STRING_coexpression	ASH2L	HIST1H4A	61
('ASH2L', 'HIST1H4A', 'STRING_experimental')	STRING_experimental	ASH2L	HIST1H4A	51
('ASH2L', 'HIST1H4A', 'STRING_textmining')	STRING_textmining	ASH2L	HIST1H4A	345
('HIST1H4A', 'HIST1H4J', 'STRING_database')	STRING_database	HIST1H4A	HIST1H4J	900
('HIST1H4A', 'HIST1H4J', 'STRING_coexpression')	STRING_coexpression	HIST1H4A	HIST1H4J	215
('HIST1H4A', 'HIST1H4J', 'STRING_experimental')	STRING_experimental	HIST1H4A	HIST1H4J	800
('HIST1H4A', 'HIST1H4J', 'STRING_textmining')	STRING_textmining	HIST1H4A	HIST1H4J	47
('HIST1H4A', 'PHF19', 'STRING_coexpression')	STRING_coexpression	HIST1H4A	PHF19	47
('HIST1H4A', 'PHF19', 'STRING_experimental')	STRING_experimental	HIST1H4A	PHF19	132
('HIST1H4A', 'PHF19', 'STRING_textmining')	STRING_textmining	HIST1H4A	PHF19	128
('CTNNB1', 'HIST1H4A', 'STRING_experimental')	STRING_experimental	CTNNB1	HIST1H4A	64
('CTNNB1', 'HIST1H4A', 'STRING_textmining')	STRING_textmining	CTNNB1	HIST1H4A	210
('HIST1H4A', 'TCF7L2', 'PCnet_other')	PCnet_other	HIST1H4A	TCF7L2	1
('HIST1H2AJ', 'HIST1H4A', 'STRING_coexpression')	STRING_coexpression	HIST1H2AJ	HIST1H4A	313
('HIST1H2AJ', 'HIST1H4A', 'STRING_experimental')	STRING_experimental	HIST1H2AJ	HIST1H4A	268
('HIST1H2AJ', 'HIST1H4A', 'STRING_textmining')	STRING_textmining	HIST1H2AJ	HIST1H4A	330
('HIST1H2AJ', 'HIST1H4A', 'STRING_other')	STRING_other	HIST1H2AJ	HIST1H4A	4
('BCL9L', 'HIST1H4A', 'PCnet_other')	PCnet_other	BCL9L	HIST1H4A	1
('CBX4', 'HIST1H4A', 'STRING_experimental')	STRING_experimental	CBX4	HIST1H4A	186
('CBX4', 'HIST1H4A', 'STRING_textmining')	STRING_textmining	CBX4	HIST1H4A	182
('HIST1H2AC', 'HIST1H4A', 'STRING_coexpression')	STRING_coexpression	HIST1H2AC	HIST1H4A	131
('HIST1H2AC', 'HIST1H4A', 'STRING_experimental')	STRING_experimental	HIST1H2AC	HIST1H4A	854
('HIST1H2AC', 'HIST1H4A', 'STRING_textmining')	STRING_textmining	HIST1H2AC	HIST1H4A	357
('HIST1H2AC', 'HIST1H4A', 'STRING_other')	STRING_other	HIST1H2AC	HIST1H4A	4
('HIST1H4A', 'KANSL3', 'STRING_textmining')	STRING_textmining	HIST1H4A	KANSL3	264
('HIST1H4A', 'HIST4H4', 'STRING_database')	STRING_database	HIST1H4A	HIST4H4	900
('HIST1H4A', 'HIST4H4', 'STRING_coexpression')	STRING_coexpression	HIST1H4A	HIST4H4	96
('HIST1H4A', 'HIST4H4', 'STRING_experimental')	STRING_experimental	HIST1H4A	HIST4H4	800
('HIST1H4A', 'HIST4H4', 'STRING_textmining')	STRING_textmining	HIST1H4A	HIST4H4	47
('HIST1H4A', 'SMARCB1', 'STRING_experimental')	STRING_experimental	HIST1H4A	SMARCB1	87
('HIST1H4A', 'SMARCB1', 'STRING_textmining')	STRING_textmining	HIST1H4A	SMARCB1	329
('HIST1H4A', 'PYGO1', 'STRING_experimental')	STRING_experimental	HIST1H4A	PYGO1	554
('HIST1H4A', 'PYGO1', 'STRING_textmining')	STRING_textmining	HIST1H4A	PYGO1	74
('DNMT3L', 'HIST1H4A', 'STRING_experimental')	STRING_experimental	DNMT3L	HIST1H4A	64
('DNMT3L', 'HIST1H4A', 'STRING_textmining')	STRING_textmining	DNMT3L	HIST1H4A	330
('HIST1H3A', 'HIST1H4A', 'STRING_database')	STRING_database	HIST1H3A	HIST1H4A	900
('HIST1H3A', 'HIST1H4A', 'STRING_coexpression')	STRING_coexpression	HIST1H3A	HIST1H4A	382
('HIST1H3A', 'HIST1H4A', 'STRING_experimental')	STRING_experimental	HIST1H3A	HIST1H4A	904
('HIST1H3A', 'HIST1H4A', 'STRING_textmining')	STRING_textmining	HIST1H3A	HIST1H4A	586
('HIST1H3A', 'HIST1H4A', 'STRING_other')	STRING_other	HIST1H3A	HIST1H4A	8
('HIST1H4A', 'SMARCD1', 'STRING_experimental')	STRING_experimental	HIST1H4A	SMARCD1	83
('HIST1H4A', 'SMARCD1', 'STRING_textmining')	STRING_textmining	HIST1H4A	SMARCD1	137
('HIST1H3J', 'HIST1H4A', 'STRING_database')	STRING_database	HIST1H3J	HIST1H4A	900
('HIST1H3J', 'HIST1H4A', 'STRING_coexpression')	STRING_coexpression	HIST1H3J	HIST1H4A	267
('HIST1H3J', 'HIST1H4A', 'STRING_experimental')	STRING_experimental	HIST1H3J	HIST1H4A	852
('HIST1H3J', 'HIST1H4A', 'STRING_textmining')	STRING_textmining	HIST1H3J	HIST1H4A	586
('HIST1H3J', 'HIST1H4A', 'STRING_other')	STRING_other	HIST1H3J	HIST1H4A	8
('HIST1H3H', 'HIST1H4A', 'STRING_database')	STRING_database	HIST1H3H	HIST1H4A	900
('HIST1H3H', 'HIST1H4A', 'STRING_coexpression')	STRING_coexpression	HIST1H3H	HIST1H4A	212
('HIST1H3H', 'HIST1H4A', 'STRING_experimental')	STRING_experimental	HIST1H3H	HIST1H4A	852
('HIST1H3H', 'HIST1H4A', 'STRING_textmining')	STRING_textmining	HIST1H3H	HIST1H4A	586
('HIST1H3H', 'HIST1H4A', 'STRING_other')	STRING_other	HIST1H3H	HIST1H4A	8
('HIST1H4A', 'KAT8', 'STRING_coexpression')	STRING_coexpression	HIST1H4A	KAT8	62
('HIST1H4A', 'KAT8', 'STRING_experimental')	STRING_experimental	HIST1H4A	KAT8	564
('HIST1H4A', 'KAT8', 'STRING_textmining')	STRING_textmining	HIST1H4A	KAT8	699
('HIST1H4A', 'PCGF2', 'STRING_experimental')	STRING_experimental	HIST1H4A	PCGF2	328
('HIST1H4A', 'PCGF2', 'STRING_textmining')	STRING_textmining	HIST1H4A	PCGF2	191
('HIST1H4A', 'RBBP5', 'STRING_experimental')	STRING_experimental	HIST1H4A	RBBP5	124
('HIST1H4A', 'RBBP5', 'STRING_textmining')	STRING_textmining	HIST1H4A	RBBP5	321
('HIST1H4A', 'RARB', 'PCnet_other')	PCnet_other	HIST1H4A	RARB	1
('ACTB', 'HIST1H4A', 'STRING_coexpression')	STRING_coexpression	ACTB	HIST1H4A	56
('ACTB', 'HIST1H4A', 'STRING_experimental')	STRING_experimental	ACTB	HIST1H4A	79
('ACTB', 'HIST1H4A', 'STRING_textmining')	STRING_textmining	ACTB	HIST1H4A	395
('HIST1H4A', 'PHF1', 'STRING_coexpression')	STRING_coexpression	HIST1H4A	PHF1	47
('HIST1H4A', 'PHF1', 'STRING_experimental')	STRING_experimental	HIST1H4A	PHF1	132
('HIST1H4A', 'PHF1', 'STRING_textmining')	STRING_textmining	HIST1H4A	PHF1	208
('HIST1H3D', 'HIST1H4J', 'STRING_database')	STRING_database	HIST1H3D	HIST1H4J	900
('HIST1H3D', 'HIST1H4J', 'STRING_coexpression')	STRING_coexpression	HIST1H3D	HIST1H4J	160
('HIST1H3D', 'HIST1H4J', 'STRING_experimental')	STRING_experimental	HIST1H3D	HIST1H4J	852
('HIST1H3D', 'HIST1H4J', 'STRING_textmining')	STRING_textmining	HIST1H3D	HIST1H4J	690
('HIST1H3D', 'HIST1H4J', 'STRING_other')	STRING_other	HIST1H3D	HIST1H4J	8
('HDAC7', 'HIST1H4J', 'STRING_coexpression')	STRING_coexpression	HDAC7	HIST1H4J	62
('HDAC7', 'HIST1H4J', 'STRING_experimental')	STRING_experimental	HDAC7	HIST1H4J	184
('HDAC7', 'HIST1H4J', 'STRING_textmining')	STRING_textmining	HDAC7	HIST1H4J	488
('HDAC7', 'HIST1H4J', 'STRING_other')	STRING_other	HDAC7	HIST1H4J	43
('ASH2L', 'HIST1H4J', 'STRING_coexpression')	STRING_coexpression	ASH2L	HIST1H4J	61
('ASH2L', 'HIST1H4J', 'STRING_experimental')	STRING_experimental	ASH2L	HIST1H4J	51
('ASH2L', 'HIST1H4J', 'STRING_textmining')	STRING_textmining	ASH2L	HIST1H4J	345
('CTNNB1', 'HIST1H4J', 'STRING_experimental')	STRING_experimental	CTNNB1	HIST1H4J	64
('CTNNB1', 'HIST1H4J', 'STRING_textmining')	STRING_textmining	CTNNB1	HIST1H4J	210
('HIST1H2AJ', 'HIST1H4J', 'STRING_coexpression')	STRING_coexpression	HIST1H2AJ	HIST1H4J	322
('HIST1H2AJ', 'HIST1H4J', 'STRING_experimental')	STRING_experimental	HIST1H2AJ	HIST1H4J	268
('HIST1H2AJ', 'HIST1H4J', 'STRING_textmining')	STRING_textmining	HIST1H2AJ	HIST1H4J	330
('HIST1H2AJ', 'HIST1H4J', 'STRING_other')	STRING_other	HIST1H2AJ	HIST1H4J	4
('CBX4', 'HIST1H4J', 'STRING_experimental')	STRING_experimental	CBX4	HIST1H4J	186
('CBX4', 'HIST1H4J', 'STRING_textmining')	STRING_textmining	CBX4	HIST1H4J	182
('HIST1H2AC', 'HIST1H4J', 'STRING_coexpression')	STRING_coexpression	HIST1H2AC	HIST1H4J	152
('HIST1H2AC', 'HIST1H4J', 'STRING_experimental')	STRING_experimental	HIST1H2AC	HIST1H4J	854
('HIST1H2AC', 'HIST1H4J', 'STRING_textmining')	STRING_textmining	HIST1H2AC	HIST1H4J	357
('HIST1H2AC', 'HIST1H4J', 'STRING_other')	STRING_other	HIST1H2AC	HIST1H4J	4
('HIST1H4J', 'IKZF2', 'PCnet_other')	PCnet_other	HIST1H4J	IKZF2	1
('HIST1H4J', 'HIST4H4', 'STRING_database')	STRING_database	HIST1H4J	HIST4H4	900
('HIST1H4J', 'HIST4H4', 'STRING_coexpression')	STRING_coexpression	HIST1H4J	HIST4H4	76
('HIST1H4J', 'HIST4H4', 'STRING_experimental')	STRING_experimental	HIST1H4J	HIST4H4	800
('HIST1H4J', 'HIST4H4', 'STRING_textmining')	STRING_textmining	HIST1H4J	HIST4H4	47
('H3F3C', 'HIST1H4J', 'STRING_coexpression')	STRING_coexpression	H3F3C	HIST1H4J	107
('H3F3C', 'HIST1H4J', 'STRING_experimental')	STRING_experimental	H3F3C	HIST1H4J	294
('H3F3C', 'HIST1H4J', 'STRING_textmining')	STRING_textmining	H3F3C	HIST1H4J	270
('H3F3C', 'HIST1H4J', 'STRING_other')	STRING_other	H3F3C	HIST1H4J	7
('HIST1H4J', 'SMARCB1', 'STRING_experimental')	STRING_experimental	HIST1H4J	SMARCB1	87
('HIST1H4J', 'SMARCB1', 'STRING_textmining')	STRING_textmining	HIST1H4J	SMARCB1	329
('DNMT3L', 'HIST1H4J', 'STRING_experimental')	STRING_experimental	DNMT3L	HIST1H4J	64
('DNMT3L', 'HIST1H4J', 'STRING_textmining')	STRING_textmining	DNMT3L	HIST1H4J	330
('HIST1H3A', 'HIST1H4J', 'STRING_database')	STRING_database	HIST1H3A	HIST1H4J	900
('HIST1H3A', 'HIST1H4J', 'STRING_coexpression')	STRING_coexpression	HIST1H3A	HIST1H4J	268
('HIST1H3A', 'HIST1H4J', 'STRING_experimental')	STRING_experimental	HIST1H3A	HIST1H4J	852
('HIST1H3A', 'HIST1H4J', 'STRING_textmining')	STRING_textmining	HIST1H3A	HIST1H4J	586
('HIST1H3A', 'HIST1H4J', 'STRING_other')	STRING_other	HIST1H3A	HIST1H4J	8
('HIST1H4J', 'SMARCD1', 'STRING_experimental')	STRING_experimental	HIST1H4J	SMARCD1	83
('HIST1H4J', 'SMARCD1', 'STRING_textmining')	STRING_textmining	HIST1H4J	SMARCD1	137
('HIST1H3J', 'HIST1H4J', 'STRING_database')	STRING_database	HIST1H3J	HIST1H4J	900
('HIST1H3J', 'HIST1H4J', 'STRING_coexpression')	STRING_coexpression	HIST1H3J	HIST1H4J	267
('HIST1H3J', 'HIST1H4J', 'STRING_experimental')	STRING_experimental	HIST1H3J	HIST1H4J	852
('HIST1H3J', 'HIST1H4J', 'STRING_textmining')	STRING_textmining	HIST1H3J	HIST1H4J	586
('HIST1H3J', 'HIST1H4J', 'STRING_other')	STRING_other	HIST1H3J	HIST1H4J	8
('HIST1H3H', 'HIST1H4J', 'STRING_database')	STRING_database	HIST1H3H	HIST1H4J	900
('HIST1H3H', 'HIST1H4J', 'STRING_coexpression')	STRING_coexpression	HIST1H3H	HIST1H4J	267
('HIST1H3H', 'HIST1H4J', 'STRING_experimental')	STRING_experimental	HIST1H3H	HIST1H4J	852
('HIST1H3H', 'HIST1H4J', 'STRING_textmining')	STRING_textmining	HIST1H3H	HIST1H4J	586
('HIST1H3H', 'HIST1H4J', 'STRING_other')	STRING_other	HIST1H3H	HIST1H4J	8
('HIST1H4J', 'KAT8', 'STRING_coexpression')	STRING_coexpression	HIST1H4J	KAT8	62
('HIST1H4J', 'KAT8', 'STRING_experimental')	STRING_experimental	HIST1H4J	KAT8	354
('HIST1H4J', 'KAT8', 'STRING_textmining')	STRING_textmining	HIST1H4J	KAT8	699
('HIST1H4J', 'TP53', 'STRING_textmining')	STRING_textmining	HIST1H4J	TP53	589
('HIST1H4J', 'SGK1', 'STRING_textmining')	STRING_textmining	HIST1H4J	SGK1	187
('HIST1H4J', 'RBBP5', 'STRING_experimental')	STRING_experimental	HIST1H4J	RBBP5	124
('HIST1H4J', 'RBBP5', 'STRING_textmining')	STRING_textmining	HIST1H4J	RBBP5	321
('HIST1H4J', 'RARB', 'PCnet_other')	PCnet_other	HIST1H4J	RARB	1
('ACTB', 'HIST1H4J', 'STRING_coexpression')	STRING_coexpression	ACTB	HIST1H4J	56
('ACTB', 'HIST1H4J', 'STRING_experimental')	STRING_experimental	ACTB	HIST1H4J	79
('ACTB', 'HIST1H4J', 'STRING_textmining')	STRING_textmining	ACTB	HIST1H4J	395
('NR6A1', 'RASAL1', 'STRING_experimental')	STRING_experimental	NR6A1	RASAL1	77
('NR6A1', 'RASAL1', 'STRING_textmining')	STRING_textmining	NR6A1	RASAL1	131
('ERBB4', 'RASAL1', 'STRING_experimental')	STRING_experimental	ERBB4	RASAL1	125
('ERBB4', 'RASAL1', 'STRING_textmining')	STRING_textmining	ERBB4	RASAL1	149
('MAP3K9', 'SRCAP', 'PCnet_other')	PCnet_other	MAP3K9	SRCAP	1
('MAP3K9', 'SPTAN1', 'PCnet_other')	PCnet_other	MAP3K9	SPTAN1	1
('MAP3K9', 'TRIO', 'PCnet_other')	PCnet_other	MAP3K9	TRIO	1
('LRRN2', 'MAP3K9', 'PCnet_other')	PCnet_other	LRRN2	MAP3K9	1
('MYCN', 'NTRK2', 'STRING_experimental')	STRING_experimental	MYCN	NTRK2	60
('MYCN', 'NTRK2', 'STRING_textmining')	STRING_textmining	MYCN	NTRK2	491
('NTRK2', 'TRIO', 'STRING_coexpression')	STRING_coexpression	NTRK2	TRIO	61
('NTRK2', 'TRIO', 'STRING_experimental')	STRING_experimental	NTRK2	TRIO	105
('NTRK2', 'TRIO', 'STRING_textmining')	STRING_textmining	NTRK2	TRIO	88
('ERBB4', 'NTRK2', 'STRING_coexpression')	STRING_coexpression	ERBB4	NTRK2	262
('ERBB4', 'NTRK2', 'STRING_experimental')	STRING_experimental	ERBB4	NTRK2	102
('ERBB4', 'NTRK2', 'STRING_textmining')	STRING_textmining	ERBB4	NTRK2	293
('MT3', 'NTRK2', 'STRING_coexpression')	STRING_coexpression	MT3	NTRK2	379
('MT3', 'NTRK2', 'STRING_textmining')	STRING_textmining	MT3	NTRK2	146
('NTRK2', 'PTPN11', 'STRING_database')	STRING_database	NTRK2	PTPN11	900
('NTRK2', 'PTPN11', 'STRING_coexpression')	STRING_coexpression	NTRK2	PTPN11	62
('NTRK2', 'PTPN11', 'STRING_experimental')	STRING_experimental	NTRK2	PTPN11	472
('NTRK2', 'PTPN11', 'STRING_textmining')	STRING_textmining	NTRK2	PTPN11	613
('CALB2', 'NTRK2', 'STRING_coexpression')	STRING_coexpression	CALB2	NTRK2	129
('CALB2', 'NTRK2', 'STRING_experimental')	STRING_experimental	CALB2	NTRK2	125
('CALB2', 'NTRK2', 'STRING_textmining')	STRING_textmining	CALB2	NTRK2	399
('NTRK2', 'RET', 'STRING_coexpression')	STRING_coexpression	NTRK2	RET	61
('NTRK2', 'RET', 'STRING_experimental')	STRING_experimental	NTRK2	RET	157
('NTRK2', 'RET', 'STRING_textmining')	STRING_textmining	NTRK2	RET	212
('LRRN2', 'NTRK2', 'STRING_coexpression')	STRING_coexpression	LRRN2	NTRK2	87
('LRRN2', 'NTRK2', 'STRING_experimental')	STRING_experimental	LRRN2	NTRK2	123
('LRRN2', 'NTRK2', 'STRING_textmining')	STRING_textmining	LRRN2	NTRK2	45
('CNTN2', 'NTRK2', 'STRING_coexpression')	STRING_coexpression	CNTN2	NTRK2	349
('CNTN2', 'NTRK2', 'STRING_experimental')	STRING_experimental	CNTN2	NTRK2	50
('CNTN2', 'NTRK2', 'STRING_textmining')	STRING_textmining	CNTN2	NTRK2	124
('CTNNB1', 'NTRK2', 'STRING_database')	STRING_database	CTNNB1	NTRK2	900
('CTNNB1', 'NTRK2', 'STRING_experimental')	STRING_experimental	CTNNB1	NTRK2	142
('CTNNB1', 'NTRK2', 'STRING_textmining')	STRING_textmining	CTNNB1	NTRK2	359
('NTRK2', 'SOX9', 'STRING_coexpression')	STRING_coexpression	NTRK2	SOX9	98
('NTRK2', 'SOX9', 'STRING_experimental')	STRING_experimental	NTRK2	SOX9	50
('NTRK2', 'SOX9', 'STRING_textmining')	STRING_textmining	NTRK2	SOX9	190
('MAPT', 'NTRK2', 'STRING_coexpression')	STRING_coexpression	MAPT	NTRK2	199
('MAPT', 'NTRK2', 'STRING_textmining')	STRING_textmining	MAPT	NTRK2	452
('JAG1', 'NTRK2', 'STRING_coexpression')	STRING_coexpression	JAG1	NTRK2	62
('JAG1', 'NTRK2', 'STRING_experimental')	STRING_experimental	JAG1	NTRK2	133
('JAG1', 'NTRK2', 'STRING_textmining')	STRING_textmining	JAG1	NTRK2	201
('ARID1A', 'ZSWIM8', 'PCnet_other')	PCnet_other	ARID1A	ZSWIM8	1
('IGF1R', 'MYH10', 'STRING_coexpression')	STRING_coexpression	IGF1R	MYH10	95
('IGF1R', 'MYH10', 'STRING_experimental')	STRING_experimental	IGF1R	MYH10	64
('IGF1R', 'MYH10', 'STRING_textmining')	STRING_textmining	IGF1R	MYH10	169
('IGF1R', 'TRIO', 'PCnet_other')	PCnet_other	IGF1R	TRIO	1
('IGF1R', 'RARB', 'PCnet_other')	PCnet_other	IGF1R	RARB	1
('IGF1R', 'TP53', 'STRING_experimental')	STRING_experimental	IGF1R	TP53	311
('IGF1R', 'TP53', 'STRING_textmining')	STRING_textmining	IGF1R	TP53	867
('IGF1R', 'SGK1', 'STRING_coexpression')	STRING_coexpression	IGF1R	SGK1	49
('IGF1R', 'SGK1', 'STRING_experimental')	STRING_experimental	IGF1R	SGK1	267
('IGF1R', 'SGK1', 'STRING_textmining')	STRING_textmining	IGF1R	SGK1	232
('ERBB4', 'IGF1R', 'STRING_experimental')	STRING_experimental	ERBB4	IGF1R	102
('ERBB4', 'IGF1R', 'STRING_textmining')	STRING_textmining	ERBB4	IGF1R	297
