symbol	description	original_symbol	matches
ATP2B4	ATPase plasma membrane Ca2+ transporting 4	ATP2B4	
ATP4A	ATPase H+/K+ transporting alpha subunit	ATP4A	
ATP6V1B2	ATPase H+ transporting V1 subunit B2	ATP6V1B2	
ATRX	"ATRX, chromatin remodeler"	ATRX	
B3GNT4	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4"	B3GNT4	
B4GALNT1	"beta-1,4-N-acetyl-galactosaminyltransferase 1"	B4GALNT1	
ADGRB1	adhesion G protein-coupled receptor B1	BAI1	DIF
ADGRB3	adhesion G protein-coupled receptor B3	BAI3	DIF
BAZ2B	bromodomain adjacent to zinc finger domain 2B	BAZ2B	
BCL11A	B-cell CLL/lymphoma 11A	BCL11A	
BCLAF1	BCL2 associated transcription factor 1	BCLAF1	
BHLHE22	basic helix-loop-helix family member e22	BHLHE22	
BLK	"BLK proto-oncogene, Src family tyrosine kinase"	BLK	
BMP1	bone morphogenetic protein 1	BMP1	
BMP6	bone morphogenetic protein 6	BMP6	
BMS1	"BMS1, ribosome biogenesis factor"	BMS1	
BNC1	basonuclin 1	BNC1	
BNIP1	BCL2 interacting protein 1	BNIP1	
BRCA1	"BRCA1, DNA repair associated"	BRCA1	
BRF1	"BRF1, RNA polymerase III transcription initiation factor subunit"	BRF1	
BRF2	"BRF2, RNA polymerase III transcription initiation factor subunit"	BRF2	
BRPF1	bromodomain and PHD finger containing 1	BRPF1	
BRWD1	bromodomain and WD repeat domain containing 1	BRWD1	
BST2	bone marrow stromal cell antigen 2	BST2	
BTAF1	B-TFIID TATA-box binding protein associated factor 1	BTAF1	
BTBD2	BTB domain containing 2	BTBD2	
BTBD9	BTB domain containing 9	BTBD9	
BTN1A1	butyrophilin subfamily 1 member A1	BTN1A1	
C10orf90	chromosome 10 open reading frame 90	C10orf90	
C11orf24	chromosome 11 open reading frame 24	C11orf24	
C15orf62	chromosome 15 open reading frame 62	C15orf62	
METTL26	methyltransferase like 26	C16orf13	DIF
C17orf53	chromosome 17 open reading frame 53	C17orf53	
WDR98	WD repeat domain 98	C18orf8	DIF
C1QTNF6	C1q and TNF related 6	C1QTNF6	
C1orf56	chromosome 1 open reading frame 56	C1orf56	
C21orf2	chromosome 21 open reading frame 2	C21orf2	
TRMO	tRNA methyltransferase O	C9orf156	DIF
CA13	carbonic anhydrase 13	CA13	
CA3	carbonic anhydrase 3	CA3	
CACNA1A	calcium voltage-gated channel subunit alpha1 A	CACNA1A	
CACNA1C	calcium voltage-gated channel subunit alpha1 C	CACNA1C	
CACNA1D	calcium voltage-gated channel subunit alpha1 D	CACNA1D	
CACNA1E	calcium voltage-gated channel subunit alpha1 E	CACNA1E	
CACNA1G	calcium voltage-gated channel subunit alpha1 G	CACNA1G	
CACNA1H	calcium voltage-gated channel subunit alpha1 H	CACNA1H	
CACNA2D3	calcium voltage-gated channel auxiliary subunit alpha2delta 3	CACNA2D3	
CAD	"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase"	CAD	
CADPS	calcium dependent secretion activator	CADPS	
CAMK2A	calcium/calmodulin dependent protein kinase II alpha	CAMK2A	
CAPN12	calpain 12	CAPN12	
CAPN8	calpain 8	CAPN8	
NAXD	NAD(P)HX dehydratase	CARKD	DIF
CASP8AP2	caspase 8 associated protein 2	CASP8AP2	
CAT	catalase	CAT	
CATSPERG	cation channel sperm associated auxiliary subunit gamma	CATSPERG	
CBL	Cbl proto-oncogene	CBL	
CBX4	chromobox 4	CBX4	
CC2D1A	coiled-coil and C2 domain containing 1A	CC2D1A	
CCDC171	coiled-coil domain containing 171	CCDC171	
CCDC28B	coiled-coil domain containing 28B	CCDC28B	
CCDC66	coiled-coil domain containing 66	CCDC66	
CCDC87	coiled-coil domain containing 87	CCDC87	
CCNJL	cyclin J like	CCNJL	
CCPG1	cell cycle progression 1	CCPG1	
CCR2	C-C motif chemokine receptor 2	CCR2	
CCT4	chaperonin containing TCP1 subunit 4	CCT4	
CCT6B	chaperonin containing TCP1 subunit 6B	CCT6B	
CD151	CD151 molecule (Raph blood group)	CD151	
CD1C	CD1c molecule	CD1C	
CDAN1	codanin 1	CDAN1	
CDC23	cell division cycle 23	CDC23	
CDC27	cell division cycle 27	CDC27	
CDC42	cell division cycle 42	CDC42	
CDC42BPB	CDC42 binding protein kinase beta	CDC42BPB	
CDH13	cadherin 13	CDH13	
CDK13	cyclin dependent kinase 13	CDK13	
CDKL2	cyclin dependent kinase like 2	CDKL2	
CDKL5	cyclin dependent kinase like 5	CDKL5	
CDS2	CDP-diacylglycerol synthase 2	CDS2	
CEBPG	CCAAT/enhancer binding protein gamma	CEBPG	
CELSR1	cadherin EGF LAG seven-pass G-type receptor 1	CELSR1	
CEP95	centrosomal protein 95	CEP95	
CHD1	chromodomain helicase DNA binding protein 1	CHD1	
CHD2	chromodomain helicase DNA binding protein 2	CHD2	
CHD3	chromodomain helicase DNA binding protein 3	CHD3	
CHD4	chromodomain helicase DNA binding protein 4	CHD4	
CHD7	chromodomain helicase DNA binding protein 7	CHD7	
CHD8	chromodomain helicase DNA binding protein 8	CHD8	
CHRND	cholinergic receptor nicotinic delta subunit	CHRND	
CHSY1	chondroitin sulfate synthase 1	CHSY1	
CIC	capicua transcriptional repressor	CIC	
CLASP1	cytoplasmic linker associated protein 1	CLASP1	
CLUH	clustered mitochondria homolog	CLUH	
CMPK2	cytidine/uridine monophosphate kinase 2	CMPK2	
CNOT1	CCR4-NOT transcription complex subunit 1	CNOT1	
CNOT3	CCR4-NOT transcription complex subunit 3	CNOT3	
CNOT4	CCR4-NOT transcription complex subunit 4	CNOT4	
CNOT6	CCR4-NOT transcription complex subunit 6	CNOT6	
CNTN5	contactin 5	CNTN5	
COL25A1	collagen type XXV alpha 1 chain	COL25A1	
COL4A1	collagen type IV alpha 1 chain	COL4A1	
COL4A2	collagen type IV alpha 2 chain	COL4A2	
COL4A3	collagen type IV alpha 3 chain	COL4A3	
COL4A3BP	collagen type IV alpha 3 binding protein	COL4A3BP	
COL5A3	collagen type V alpha 3 chain	COL5A3	
COL6A6	collagen type VI alpha 6 chain	COL6A6	
COL7A1	collagen type VII alpha 1 chain	COL7A1	
COLGALT1	collagen beta(1-O)galactosyltransferase 1	COLGALT1	
COPA	coatomer protein complex subunit alpha	COPA	
COPB2	coatomer protein complex subunit beta 2	COPB2	
COQ3	"coenzyme Q3, methyltransferase"	COQ3	
CORIN	"corin, serine peptidase"	CORIN	
COX18	"COX18, cytochrome c oxidase assembly factor"	COX18	
CPAMD8	"C3 and PZP like, alpha-2-macroglobulin domain containing 8"	CPAMD8	
CPD	carboxypeptidase D	CPD	
CPT1C	carnitine palmitoyltransferase 1C	CPT1C	
CREBBP	CREB binding protein	CREBBP	
CRHR1	corticotropin releasing hormone receptor 1	CRHR1	
CRTAC1	cartilage acidic protein 1	CRTAC1	
CRY2	cryptochrome circadian regulator 2	CRY2	
CSAD	cysteine sulfinic acid decarboxylase	CSAD	
CSDE1	cold shock domain containing E1	CSDE1	
CSMD1	CUB and Sushi multiple domains 1	CSMD1	
CSMD2	CUB and Sushi multiple domains 2	CSMD2	
CSNK1E	casein kinase 1 epsilon	CSNK1E	
CSNK2A1	casein kinase 2 alpha 1	CSNK2A1	
CSTF2T	cleavage stimulation factor subunit 2 tau variant	CSTF2T	
CTBP2	C-terminal binding protein 2	CTBP2	
CTCF	CCCTC-binding factor	CTCF	
CTNNA3	catenin alpha 3	CTNNA3	
CTNNB1	catenin beta 1	CTNNB1	
CTNNBIP1	catenin beta interacting protein 1	CTNNBIP1	
CTR9	"CTR9 homolog, Paf1/RNA polymerase II complex component"	CTR9	
CTTNBP2	cortactin binding protein 2	CTTNBP2	
CUBN	cubilin	CUBN	
CUL3	cullin 3	CUL3	
CUL4B	cullin 4B	CUL4B	
CUL5	cullin 5	CUL5	
CUX2	cut like homeobox 2	CUX2	
CYP21A2	cytochrome P450 family 21 subfamily A member 2	CYP21A2	
CYP27C1	cytochrome P450 family 27 subfamily C member 1	CYP27C1	
CYP3A4	cytochrome P450 family 3 subfamily A member 4	CYP3A4	
DBR1	debranching RNA lariats 1	DBR1	
DCAF11	DDB1 and CUL4 associated factor 11	DCAF11	
DCDC2B	doublecortin domain containing 2B	DCDC2B	
DCLK1	doublecortin like kinase 1	DCLK1	
DCUN1D3	defective in cullin neddylation 1 domain containing 3	DCUN1D3	
DCX	doublecortin	DCX	
DDX23	DEAD-box helicase 23	DDX23	
DDX3X	"DEAD-box helicase 3, X-linked"	DDX3X	
DDX50	DExD-box helicase 50	DDX50	
DDX60	DExD/H-box helicase 60	DDX60	
DGCR2	DiGeorge syndrome critical region gene 2	DGCR2	
DGKA	diacylglycerol kinase alpha	DGKA	
DGUOK	deoxyguanosine kinase	DGUOK	
DHDDS	dehydrodolichyl diphosphate synthase subunit	DHDDS	
DHX29	DExH-box helicase 29	DHX29	
DHX9	DExH-box helicase 9	DHX9	
DIDO1	death inducer-obliterator 1	DIDO1	
DIP2A	disco interacting protein 2 homolog A	DIP2A	
DIP2C	disco interacting protein 2 homolog C	DIP2C	
DISP1	dispatched RND transporter family member 1	DISP1	
DLL1	delta like canonical Notch ligand 1	DLL1	
DLX3	distal-less homeobox 3	DLX3	
DMBX1	diencephalon/mesencephalon homeobox 1	DMBX1	
DNAH17	dynein axonemal heavy chain 17	DNAH17	
DNAH5	dynein axonemal heavy chain 5	DNAH5	
DNAH7	dynein axonemal heavy chain 7	DNAH7	
DNAJB1	DnaJ heat shock protein family (Hsp40) member B1	DNAJB1	
DNAJB6	DnaJ heat shock protein family (Hsp40) member B6	DNAJB6	
DNAJB9	DnaJ heat shock protein family (Hsp40) member B9	DNAJB9	
DNAJC13	DnaJ heat shock protein family (Hsp40) member C13	DNAJC13	
DNAJC6	DnaJ heat shock protein family (Hsp40) member C6	DNAJC6	
DNM1	dynamin 1	DNM1	
DNM1L	dynamin 1 like	DNM1L	
DNM3	dynamin 3	DNM3	
DNMT3A	DNA methyltransferase 3 alpha	DNMT3A	
DOCK4	dedicator of cytokinesis 4	DOCK4	
DOCK5	dedicator of cytokinesis 5	DOCK5	
DOCK7	dedicator of cytokinesis 7	DOCK7	
DOHH	deoxyhypusine hydroxylase	DOHH	
DOT1L	DOT1 like histone lysine methyltransferase	DOT1L	
DPP6	dipeptidyl peptidase like 6	DPP6	
DPYD	dihydropyrimidine dehydrogenase	DPYD	
DSCAM	DS cell adhesion molecule	DSCAM	
DSCAML1	DS cell adhesion molecule like 1	DSCAML1	
DSG2	desmoglein 2	DSG2	
DSG3	desmoglein 3	DSG3	
DST	dystonin	DST	
DTNA	dystrobrevin alpha	DTNA	
DUOX2	dual oxidase 2	DUOX2	
DUS1L	dihydrouridine synthase 1 like	DUS1L	
DUSP14	dual specificity phosphatase 14	DUSP14	
DVL3	dishevelled segment polarity protein 3	DVL3	
DYNC1H1	dynein cytoplasmic 1 heavy chain 1	DYNC1H1	
DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	DYRK1A	
DYSF	dysferlin	DYSF	
EBAG9	"estrogen receptor binding site associated, antigen, 9"	EBAG9	
ECE1	endothelin converting enzyme 1	ECE1	
ECI1	enoyl-CoA delta isomerase 1	ECI1	
ECM2	extracellular matrix protein 2	ECM2	
EEPD1	endonuclease/exonuclease/phosphatase family domain containing 1	EEPD1	
EFCAB5	EF-hand calcium binding domain 5	EFCAB5	
EFR3A	EFR3 homolog A	EFR3A	
EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2	EIF2AK2	
EIF4A2	eukaryotic translation initiation factor 4A2	EIF4A2	
EIF4G1	eukaryotic translation initiation factor 4 gamma 1	EIF4G1	
EIF4G2	eukaryotic translation initiation factor 4 gamma 2	EIF4G2	
EIF5B	eukaryotic translation initiation factor 5B	EIF5B	
ELAC2	elaC ribonuclease Z 2	ELAC2	
ELAVL2	ELAV like RNA binding protein 2	ELAVL2	
ELAVL3	ELAV like RNA binding protein 3	ELAVL3	
EMILIN3	elastin microfibril interfacer 3	EMILIN3	
ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2	ENPP2	
EP300	E1A binding protein p300	EP300	
EP400	E1A binding protein p400	EP400	
EPHB1	EPH receptor B1	EPHB1	
EPHB2	EPH receptor B2	EPHB2	
SELENOI	selenoprotein I	EPT1	DIF
ERBIN	erbb2 interacting protein	ERBB2IP	DIF
ERG	"ERG, ETS transcription factor"	ERG	
ETFB	electron transfer flavoprotein beta subunit	ETFB	
ETNK2	ethanolamine kinase 2	ETNK2	
ETS1	"ETS proto-oncogene 1, transcription factor"	ETS1	
FAF2	Fas associated factor family member 2	FAF2	
FAM102A	family with sequence similarity 102 member A	FAM102A	
FAM110B	family with sequence similarity 110 member B	FAM110B	
FAM168B	family with sequence similarity 168 member B	FAM168B	
FAM174B	family with sequence similarity 174 member B	FAM174B	
FAM200B	family with sequence similarity 200 member B	FAM200B	
FAM45A	family with sequence similarity 45 member A	FAM45A	
FAM46A	family with sequence similarity 46 member A	FAM46A	
MINDY2	MINDY lysine 48 deubiquitinase 2	FAM63B	DIF
FAM72A	family with sequence similarity 72 member A	FAM72A	
FAM8A1	family with sequence similarity 8 member A1	FAM8A1	
FAM91A1	family with sequence similarity 91 member A1	FAM91A1	
FARP1	"FERM, ARH/RhoGEF and pleckstrin domain protein 1"	FARP1	
FARSB	phenylalanyl-tRNA synthetase beta subunit	FARSB	
FASN	fatty acid synthase	FASN	
FAT1	FAT atypical cadherin 1	FAT1	
FAT3	FAT atypical cadherin 3	FAT3	
FBN1	fibrillin 1	FBN1	
FBN2	fibrillin 2	FBN2	
FBXL4	F-box and leucine rich repeat protein 4	FBXL4	
FBXO11	F-box protein 11	FBXO11	
FBXO18	"F-box protein, helicase, 18"	FBXO18	
FBXO41	F-box protein 41	FBXO41	
FBXW11	F-box and WD repeat domain containing 11	FBXW11	
FCAR	Fc fragment of IgA receptor	FCAR	
FCRL6	Fc receptor like 6	FCRL6	
FER1L5	fer-1 like family member 5	FER1L5	
FETUB	fetuin B	FETUB	
FGF12	fibroblast growth factor 12	FGF12	
FGFR4	fibroblast growth factor receptor 4	FGFR4	
FIG4	FIG4 phosphoinositide 5-phosphatase	FIG4	
FLG	filaggrin	FLG	
FLNC	filamin C	FLNC	
FLT4	fms related tyrosine kinase 4	FLT4	
FMN1	formin 1	FMN1	
FOXK2	forkhead box K2	FOXK2	
FOXM1	forkhead box M1	FOXM1	
FOXP1	forkhead box P1	FOXP1	
FREM2	FRAS1 related extracellular matrix protein 2	FREM2	
FREM3	FRAS1 related extracellular matrix 3	FREM3	
FRMD3	FERM domain containing 3	FRMD3	
FTSJ3	FtsJ RNA methyltransferase homolog 3	FTSJ3	
FUK	fucokinase	FUK	
FZD8	frizzled class receptor 8	FZD8	
G3BP1	G3BP stress granule assembly factor 1	G3BP1	
GABBR2	gamma-aminobutyric acid type B receptor subunit 2	GABBR2	
GABRA1	gamma-aminobutyric acid type A receptor alpha1 subunit	GABRA1	
GABRB1	gamma-aminobutyric acid type A receptor beta1 subunit	GABRB1	
GABRB3	gamma-aminobutyric acid type A receptor beta3 subunit	GABRB3	
GALNT18	polypeptide N-acetylgalactosaminyltransferase 18	GALNT18	
GANAB	glucosidase II alpha subunit	GANAB	
GATA4	GATA binding protein 4	GATA4	
GATA6	GATA binding protein 6	GATA6	
GDF5	growth differentiation factor 5	GDF5	
GDI1	GDP dissociation inhibitor 1	GDI1	
GIGYF1	GRB10 interacting GYF protein 1	GIGYF1	
GIGYF2	GRB10 interacting GYF protein 2	GIGYF2	
GIMAP8	"GTPase, IMAP family member 8"	GIMAP8	
GJA10	gap junction protein alpha 10	GJA10	
GLA	galactosidase alpha	GLA	
GLRA2	glycine receptor alpha 2	GLRA2	
NOP53	NOP53 ribosome biogenesis factor	GLTSCR2	DIF
GNAI1	G protein subunit alpha i1	GNAI1	
GNAO1	G protein subunit alpha o1	GNAO1	
GNAS	GNAS complex locus	GNAS	
GNE	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	GNE	
GNPAT	glyceronephosphate O-acyltransferase	GNPAT	
GOLGA5	golgin A5	GOLGA5	
GOPC	golgi associated PDZ and coiled-coil motif containing	GOPC	
GPC5	glypican 5	GPC5	
GPCPD1	glycerophosphocholine phosphodiesterase 1	GPCPD1	
GPR39	G protein-coupled receptor 39	GPR39	
ADGRV1	adhesion G protein-coupled receptor V1	GPR98	DIF
GPRIN1	G protein regulated inducer of neurite outgrowth 1	GPRIN1	
GPS1	G protein pathway suppressor 1	GPS1	
GPSM1	G protein signaling modulator 1	GPSM1	
GPSM2	G protein signaling modulator 2	GPSM2	
GPT2	glutamic--pyruvic transaminase 2	GPT2	
GRAMD2A	GRAM domain containing 2A	GRAMD2	DIF
GREB1L	growth regulation by estrogen in breast cancer 1 like	GREB1L	
GRIN1	glutamate ionotropic receptor NMDA type subunit 1	GRIN1	
GRIN2B	glutamate ionotropic receptor NMDA type subunit 2B	GRIN2B	
GRINA	glutamate ionotropic receptor NMDA type subunit associated protein 1	GRINA	
GRM6	glutamate metabotropic receptor 6	GRM6	
GRM7	glutamate metabotropic receptor 7	GRM7	
GSE1	Gse1 coiled-coil protein	GSE1	
GTDC1	glycosyltransferase like domain containing 1	GTDC1	
GTPBP1	GTP binding protein 1	GTPBP1	
GTPBP4	GTP binding protein 4	GTPBP4	
H2AFV	H2A histone family member V	H2AFV	
HDAC4	histone deacetylase 4	HDAC4	
HDAC9	histone deacetylase 9	HDAC9	
HDDC3	HD domain containing 3	HDDC3	
HDGFL2	HDGF like 2	HDGFRP2	DIF
HDLBP	high density lipoprotein binding protein	HDLBP	
HECTD1	HECT domain E3 ubiquitin protein ligase 1	HECTD1	
HEPACAM	hepatic and glial cell adhesion molecule	HEPACAM	
HERC1	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1	HERC1	
HEY1	hes related family bHLH transcription factor with YRPW motif 1	HEY1	
HIPK3	homeodomain interacting protein kinase 3	HIPK3	
HIRA	histone cell cycle regulator	HIRA	
HIST1H2AE	histone cluster 1 H2A family member e	HIST1H2AE	
HIST1H3G	histone cluster 1 H3 family member g	HIST1H3G	
HIVEP3	human immunodeficiency virus type I enhancer binding protein 3	HIVEP3	
HK2	hexokinase 2	HK2	
HLTF	helicase like transcription factor	HLTF	
HMCN1	hemicentin 1	HMCN1	
HNRNPU	heterogeneous nuclear ribonucleoprotein U	HNRNPU	
HOXA10	homeobox A10	HOXA10	
HOXD1	homeobox D1	HOXD1	
HTR1D	5-hydroxytryptamine receptor 1D	HTR1D	
IARS	isoleucyl-tRNA synthetase	IARS	
IFI30	"IFI30, lysosomal thiol reductase"	IFI30	
IFI44L	interferon induced protein 44 like	IFI44L	
IFNA10	interferon alpha 10	IFNA10	
IFT172	intraflagellar transport 172	IFT172	
IFT88	intraflagellar transport 88	IFT88	
IGF1R	insulin like growth factor 1 receptor	IGF1R	
IGSF3	immunoglobulin superfamily member 3	IGSF3	
IL11	interleukin 11	IL11	
IL17RA	interleukin 17 receptor A	IL17RA	
IL2RB	interleukin 2 receptor subunit beta	IL2RB	
IL3	interleukin 3	IL3	
ILF2	interleukin enhancer binding factor 2	ILF2	
INPP5F	inositol polyphosphate-5-phosphatase F	INPP5F	
INTS10	integrator complex subunit 10	INTS10	
INTS6	integrator complex subunit 6	INTS6	
IQCB1	IQ motif containing B1	IQCB1	
IQCC	IQ motif containing C	IQCC	
IQGAP2	IQ motif containing GTPase activating protein 2	IQGAP2	
IQSEC2	IQ motif and Sec7 domain 2	IQSEC2	
IRF2BPL	interferon regulatory factor 2 binding protein like	IRF2BPL	
ISY1-RAB43	ISY1-RAB43 readthrough	ISY1-RAB43	
ITFG2	integrin alpha FG-GAP repeat containing 2	ITFG2	
ITGA7	integrin subunit alpha 7	ITGA7	
ITGB3	integrin subunit beta 3	ITGB3	
ITIH3	inter-alpha-trypsin inhibitor heavy chain 3	ITIH3	
ITSN2	intersectin 2	ITSN2	
JAG1	jagged 1	JAG1	
JAG2	jagged 2	JAG2	
JAKMIP1	janus kinase and microtubule interacting protein 1	JAKMIP1	
JPH3	junctophilin 3	JPH3	
KANSL1	KAT8 regulatory NSL complex subunit 1	KANSL1	
KAT2B	lysine acetyltransferase 2B	KAT2B	
KAT6A	lysine acetyltransferase 6A	KAT6A	
KAT6B	lysine acetyltransferase 6B	KAT6B	
KATNAL2	katanin catalytic subunit A1 like 2	KATNAL2	
KCNA3	potassium voltage-gated channel subfamily A member 3	KCNA3	
KCNB1	potassium voltage-gated channel subfamily B member 1	KCNB1	
KCND3	potassium voltage-gated channel subfamily D member 3	KCND3	
KCNH6	potassium voltage-gated channel subfamily H member 6	KCNH6	
KCNH8	potassium voltage-gated channel subfamily H member 8	KCNH8	
KCNJ15	potassium voltage-gated channel subfamily J member 15	KCNJ15	
KCNJ16	potassium voltage-gated channel subfamily J member 16	KCNJ16	
KCNQ1	potassium voltage-gated channel subfamily Q member 1	KCNQ1	
KCNQ2	potassium voltage-gated channel subfamily Q member 2	KCNQ2	
KCTD20	potassium channel tetramerization domain containing 20	KCTD20	
KDM5A	lysine demethylase 5A	KDM5A	
KDM5B	lysine demethylase 5B	KDM5B	
KDM6B	lysine demethylase 6B	KDM6B	
KIAA0100	KIAA0100	KIAA0100	
WASHC5	WASH complex subunit 5	KIAA0196	DIF
KIAA0232	KIAA0232	KIAA0232	
MYORG	myogenesis regulating glycosidase (putative)	KIAA1161	DIF
RIC1	"RIC1 homolog, RAB6A GEF complex partner 1"	KIAA1432	DIF
KIAA1456	KIAA1456	KIAA1456	
CEP295	centrosomal protein 295	KIAA1731	DIF
KIF21A	kinesin family member 21A	KIF21A	
KIF5A	kinesin family member 5A	KIF5A	
KIR2DL2	"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2"	KIR2DL2	
KLB	klotho beta	KLB	
KLF2	Kruppel like factor 2	KLF2	
KLF4	Kruppel like factor 4	KLF4	
KLHDC10	kelch domain containing 10	KLHDC10	
KLHL14	kelch like family member 14	KLHL14	
KLHL25	kelch like family member 25	KLHL25	
KLHL28	kelch like family member 28	KLHL28	
KMT2A	lysine methyltransferase 2A	KMT2A	
KMT2B	lysine methyltransferase 2B	KMT2B	
KMT2C	lysine methyltransferase 2C	KMT2C	
KMT2D	lysine methyltransferase 2D	KMT2D	
KMT2E	lysine methyltransferase 2E	KMT2E	
KNDC1	kinase non-catalytic C-lobe domain containing 1	KNDC1	
KRT1	keratin 1	KRT1	
